OGID	MCHA	HSAN	BMAS	BPEL	BLOR	BDAR	numSequences	numSpecies
OG0000036.0	XP_022135083.1_MCHA	HSAN26615_HSAN	Bma006244.1_BMAS	Bpe024513_BPEL	BLOR06096_BLOR	Bda014957.2_BDAR	6	6
OG0000050.0	XP_022138648.1_MCHA	HSAN13995_HSAN	Bma003299.1_BMAS	Bpe008129.2_BPEL	BLOR01658_BLOR	Bda005706.2_BDAR	6	6
OG0000052.0	XP_022145923.1_MCHA	HSAN24797_HSAN	Bma021965.2_BMAS	Bpe018090.1_BPEL	BLOR10867_BLOR	Bda024938.1_BDAR	6	6
OG0000054.0	XP_022138078.1_MCHA	HSAN08291_HSAN	Bma019959.1_BMAS	Bpe015907.2_BPEL	BLOR21116_BLOR	Bda017756.1_BDAR	6	6
OG0000057.0	XP_022147951.1_MCHA	HSAN06919_HSAN	Bma017054.1_BMAS	Bpe001603.1_BPEL	BLOR13618_BLOR	Bda033948_BDAR	6	6
OG0000057.1	XP_022152169.1_MCHA	HSAN11438_HSAN	Bma001196.1_BMAS	Bpe009350.1_BPEL	BLOR08819_BLOR	Bda003510.1_BDAR	6	6
OG0000057.2	XP_022155240.1_MCHA	HSAN25394_HSAN	Bma008793.1_BMAS	Bpe003504.1_BPEL	BLOR01883_BLOR	Bda009817.1_BDAR	6	6
OG0000059.0	XP_022157600.1_MCHA	HSAN03026_HSAN	Bma006009.1_BMAS	Bpe000520.1_BPEL	BLOR05952_BLOR	Bda033075_BDAR	6	6
OG0000061.0	XP_022142954.1_MCHA	HSAN05577_HSAN	Bma011829.1_BMAS	Bpe004654.1_BPEL	BLOR03332_BLOR	Bda026370.1_BDAR	6	6
OG0000065.0	XP_022154243.1_MCHA	HSAN22724_HSAN	Bma020421.1_BMAS	Bpe016184.1_BPEL	BLOR21341_BLOR	Bda018152.1_BDAR	6	6
OG0000074.0	XP_022152323.1_MCHA	HSAN05830_HSAN	Bma000649.1_BMAS	Bpe009809.1_BPEL	BLOR00764_BLOR	Bda004101.1_BDAR	6	6
OG0000074.1	XP_022159661.1_MCHA	HSAN22498_HSAN	Bma021084.1_BMAS	Bpe017656.1_BPEL	BLOR08173_BLOR	Bda029758.1_BDAR	6	6
OG0000075.0	XP_022138845.1_MCHA	HSAN03703_HSAN	Bma024711.1_BMAS	Bpe010267.1_BPEL	BLOR18186_BLOR	Bda005368.1_BDAR	6	6
